"p_val" "avg_logFC" "pct.1" "pct.2" "p_val_adj" "cluster" "gene"
"CX3CR1" 6.57107308968858e-322 1.7509146604691 0.849 0.322 1.28142496322017e-317 "1" "CX3CR1"
"P2RY12" 5.5489019496772e-308 2.02105149787736 0.725 0.198 1.08209136920655e-303 "1" "P2RY12"
"HEXB" 3.91882767365682e-294 1.31000813533953 0.896 0.414 7.64210584639816e-290 "1" "HEXB"
"CTSS" 2.10528077499596e-273 1.11802334329171 0.927 0.432 4.10550803931962e-269 "1" "CTSS"
"CST3" 4.76021749785036e-270 1.18474390897183 0.981 0.958 9.28290014255799e-266 "1" "CST3"
"LAPTM5" 2.28020169163496e-237 1.31200872276012 0.797 0.319 4.44662131885733e-233 "1" "LAPTM5"
"GPR34" 2.28276970323849e-226 1.87740515016172 0.609 0.166 4.45162919828537e-222 "1" "GPR34"
"MARCKS" 9.30589427930833e-209 1.06045198880629 0.833 0.546 1.81474244340792e-204 "1" "MARCKS"
"SIGLECH" 3.42623762203031e-207 1.54158644860942 0.651 0.209 6.68150598672131e-203 "1" "SIGLECH"
"HPGDS" 8.19901116308517e-191 1.68291709084765 0.625 0.204 1.59888916691324e-186 "1" "HPGDS"
"JUN" 1.33161753589039e-185 1.39784718807242 0.707 0.431 2.59678735673986e-181 "1" "JUN"
"CSF1R" 3.27523379460474e-184 1.30776007052881 0.656 0.249 6.38703342285871e-180 "1" "CSF1R"
"C1QA" 7.69607156181685e-172 1.02802976067717 0.722 0.291 1.5008109152699e-167 "1" "C1QA"
"C1QB" 4.28453036610805e-165 0.979871679079257 0.717 0.298 8.3552626669473e-161 "1" "C1QB"
"SELPLG" 5.84752162695097e-164 1.45797233730239 0.523 0.159 1.14032519247171e-159 "1" "SELPLG"
"RNASE4" 3.19572106747301e-162 1.27614139291531 0.625 0.242 6.23197565367911e-158 "1" "RNASE4"
"TGFBR1" 1.76702419904665e-161 1.43548636562024 0.603 0.233 3.44587389056087e-157 "1" "TGFBR1"
"ITGAM" 2.62404233484591e-161 1.23261754493937 0.638 0.237 5.11714495718302e-157 "1" "ITGAM"
"LGMN" 3.56994900168461e-160 1.06799525883065 0.659 0.33 6.96175754818516e-156 "1" "LGMN"
"MAF" 3.00821357645225e-143 1.47134905569366 0.503 0.165 5.86631729543952e-139 "1" "MAF"
"MEF2C" 7.1728299876219e-135 1.09308601790728 0.603 0.31 1.39877357588615e-130 "1" "MEF2C"
"TMEM119" 7.79248272848093e-126 1.33568361689055 0.374 0.087 1.51961205688107e-121 "1" "TMEM119"
"ABCA9" 4.19015988703087e-125 1.63922566390062 0.39 0.089 8.1712307956989e-121 "1" "ABCA9"
"PLXDC2" 6.46885162399191e-125 1.2239480630171 0.527 0.208 1.26149075519466e-120 "1" "PLXDC2"
"AIF1" 5.45802532334972e-119 0.944186266014261 0.6 0.253 1.06436951830643e-114 "1" "AIF1"
"APBB1IP" 1.3231817912494e-116 1.10412813335043 0.551 0.23 2.58033681111545e-112 "1" "APBB1IP"
"SPARC" 3.36123370540451e-110 0.439443905159028 0.876 0.612 6.55474184890934e-106 "1" "SPARC"
"CTSD" 7.06149550579028e-109 0.627183068729927 0.764 0.489 1.37706223858416e-104 "1" "CTSD"
"TMSB4X" 9.61896980647386e-106 0.206780658039333 0.929 0.714 1.87579530196047e-101 "1" "TMSB4X"
"PDE3B" 9.9160037011887e-106 1.25947902001573 0.371 0.109 1.93371988176881e-101 "1" "PDE3B"
"CCR5" 8.52950043942113e-104 1.22234520758621 0.373 0.113 1.66333788069151e-99 "1" "CCR5"
"GOLM1" 3.97114396478307e-102 0.990944020523203 0.557 0.315 7.74412784572347e-98 "1" "GOLM1"
"C1QC" 3.57933553574229e-101 0.756455205643515 0.592 0.276 6.98006222825104e-97 "1" "C1QC"
"FYB" 2.96823923303881e-100 0.952548760113768 0.57 0.261 5.78836332834898e-96 "1" "FYB"
"TREM2" 3.22018264549393e-100 0.847581268572987 0.563 0.249 6.27967817697772e-96 "1" "TREM2"
"SERINC3" 5.871019782971e-100 0.952364442234811 0.514 0.28 1.14490756787717e-95 "1" "SERINC3"
"P2RY13" 8.93190477355479e-100 1.27726304974367 0.336 0.083 1.74181074989092e-95 "1" "P2RY13"
"MAFB" 1.08750946953813e-99 1.12711951999713 0.468 0.191 2.12075221654631e-95 "1" "MAFB"
"ENTPD1" 7.24399166713278e-99 1.41506321447602 0.389 0.125 1.41265081500756e-94 "1" "ENTPD1"
"SMAP2" 2.05986655877793e-98 1.24062320615782 0.515 0.265 4.01694577627285e-94 "1" "SMAP2"
"ZFHX3" 2.62536790813069e-98 1.23230788241386 0.383 0.13 5.11972995764566e-94 "1" "ZFHX3"
"OLFML3" 7.72942213829049e-98 1.23813151631718 0.402 0.138 1.50731461118803e-93 "1" "OLFML3"
"MTDH" 1.93754035705122e-96 0.801295652793299 0.716 0.57 3.77839745028559e-92 "1" "MTDH"
"PTGS1" 3.21612585748888e-93 1.08963044221142 0.414 0.158 6.27176703468906e-89 "1" "PTGS1"
"ARSB" 1.52300063831779e-92 0.988236600701924 0.451 0.204 2.97000354478353e-88 "1" "ARSB"
"CYTH4" 2.09505137719276e-92 1.08807456799755 0.406 0.152 4.08555969066359e-88 "1" "CYTH4"
"MEF2A" 1.18569508352649e-91 0.978601215878697 0.576 0.37 2.31222398238502e-87 "1" "MEF2A"
"RGS10" 8.38732215480212e-89 0.991241952939973 0.441 0.192 1.63561169340796e-84 "1" "RGS10"
"RRBP1" 1.68464652842384e-88 0.692237265689213 0.731 0.604 3.28522919507933e-84 "1" "RRBP1"
"MPEG1" 3.16158518417785e-88 0.697954053711545 0.572 0.272 6.16540726766523e-84 "1" "MPEG1"
"PLEK" 9.69363325419372e-88 0.86932063231149 0.52 0.239 1.89035542090032e-83 "1" "PLEK"
"SRGAP2" 4.27186216197644e-86 1.16530319755474 0.418 0.183 8.33055840207026e-82 "1" "SRGAP2"
"IL6RA" 4.68249366102989e-85 1.16977268446957 0.348 0.114 9.13133088837438e-81 "1" "IL6RA"
"RHOB" 8.54599555658382e-84 0.972481606868456 0.448 0.246 1.66655459348941e-79 "1" "RHOB"
"IL7R" 3.99648011243602e-83 1.26543506738279 0.228 0.033 7.79353586726148e-79 "1" "IL7R"
"NAV3" 4.95105804592209e-81 1.12986946513217 0.333 0.113 9.65505829535266e-77 "1" "NAV3"
"LAIR1" 1.29413386320528e-79 1.0031200223491 0.372 0.141 2.52369044663662e-75 "1" "LAIR1"
"FGD2" 5.15874834779192e-79 1.00085249862609 0.264 0.06 1.0060075153029e-74 "1" "FGD2"
"BIN1" 1.33272619436167e-78 0.861391024473911 0.437 0.225 2.59894935162469e-74 "1" "BIN1"
"SLC15A3" 1.96916642880983e-77 0.946557558554225 0.471 0.202 3.84007145282204e-73 "1" "SLC15A3"
"RGS2" 3.09587805628989e-77 0.881506872389347 0.5 0.238 6.03727179757091e-73 "1" "RGS2"
"TYROBP" 7.84007032437988e-75 0.473413490310391 0.576 0.305 1.52889211395732e-70 "1" "TYROBP"
"NCF1" 2.30674663936698e-72 0.9710566899331 0.333 0.12 4.49838662142955e-68 "1" "NCF1"
"YWHAH" 6.12597429084161e-72 0.981345857715737 0.467 0.275 1.19462624645702e-67 "1" "YWHAH"
"CSMD3" 1.24989617712149e-71 1.23679936867068 0.249 0.053 2.43742253500462e-67 "1" "CSMD3"
"SSH2" 9.37406417744331e-71 0.985267172262806 0.321 0.123 1.82803625524322e-66 "1" "SSH2"
"CFH" 6.41181003609989e-70 0.992439487160926 0.423 0.193 1.25036707513984e-65 "1" "CFH"
"JUND" 4.05850034037921e-68 1.06854323142104 0.458 0.276 7.91448151377349e-64 "1" "JUND"
"ARL4C" 3.39100093462953e-66 0.983088457394554 0.345 0.142 6.61279092262104e-62 "1" "ARL4C"
"SLCO2B1" 1.19272968892083e-65 1.15063465835615 0.276 0.091 2.3259421663645e-61 "1" "SLCO2B1"
"IVNS1ABP" 2.59196377282433e-65 0.898623563268091 0.412 0.219 5.05458855338472e-61 "1" "IVNS1ABP"
"ITGB5" 3.73124485890356e-65 0.822487638837339 0.408 0.195 7.27630059934784e-61 "1" "ITGB5"
